catid,category_name,parent_catid,parent_category_name
11012819,Women's Apparel,0,
11027727,Tops,11012819,Women's Apparel
11027710,Dresses,11012819,Women's Apparel
11012959,Traditional Wear,11012819,Women's Apparel
11012954,Socks & Tights,11012819,Women's Apparel
11012944,Skirts,11012819,Women's Apparel
11012935,Shorts,11012819,Women's Apparel
11012923,Pants & Leggings,11012819,Women's Apparel
11012911,Outerwear,11012819,Women's Apparel
11012905,Occasion wear,11012819,Women's Apparel
11012888,Muslim Wear,11012819,Women's Apparel
11012882,Maternity Wear,11012819,Women's Apparel
11012880,Matching sets,11012819,Women's Apparel
11012871,Lingerie & Sleepwear,11012819,Women's Apparel
11012864,Jumpsuits & Playsuits,11012819,Women's Apparel
11012854,Denim,11012819,Women's Apparel
11012847,Curve & Plus Size,11012819,Women's Apparel
11012836,Beachwear,11012819,Women's Apparel
11012963,Men's Wear,0,
11027774,Traditional Wear,11012963,Men's Wear
11027757,Pants,11012963,Men's Wear
11027745,Occasion Wear,11012963,Men's Wear
11027737,Muslim Wear,11012963,Men's Wear
11013072,Underwear,11012963,Men's Wear
11013062,T-Shirts,11012963,Men's Wear
11013051,Sweaters & Cardigans,11012963,Men's Wear
11013037,Shorts & Bermudas,11012963,Men's Wear
11013023,Shirts,11012963,Men's Wear
11012986,Jeans,11012963,Men's Wear
11012977,Jackets & Coats,11012963,Men's Wear
11012964,Accessories,11012963,Men's Wear
11013350,Mobile & Gadgets,0,
11027829,Audio,11013350,Mobile & Gadgets
11013470,Overseas Sim Cards,11013350,Mobile & Gadgets
11013448,Mobile Phones & Tablets,11013350,Mobile & Gadgets
11013434,Mobile Accessories,11013350,Mobile & Gadgets
11013420,Memory Cards,11013350,Mobile & Gadgets
11013395,Gadgets,11013350,Mobile & Gadgets
11013390,Digital Wearables,11013350,Mobile & Gadgets
11013358,Batteries & Powerbanks,11013350,Mobile & Gadgets
11027841,Others,11013350,Mobile & Gadgets
11000001,Home & Living,0,
11011433,"Tools, DIY & Outdoors",11000001,Home & Living
11011392,Stationery & Supplies,11000001,Home & Living
11011381,Security & Surveillance,11000001,Home & Living
11011380,Others,11000001,Home & Living
11011364,Lighting,11000001,Home & Living
11011332,Kitchen & Dining,11000001,Home & Living
11011311,Housekeeping,11000001,Home & Living
11011297,Home Organisation,11000001,Home & Living
11011273,Home Decor,11000001,Home & Living
11011220,Beddings,11000001,Home & Living
11011195,Bathroom,11000001,Home & Living
11011178,Aromatherapy,11000001,Home & Living
11001566,Furniture,11000001,Home & Living
11013247,Computers & Peripherals,0,
11013343,Storage,11013247,Computers & Peripherals
11013338,Software,11013247,Computers & Peripherals
11013332,Printers & Imaging,11013247,Computers & Peripherals
11013325,Networking,11013247,Computers & Peripherals
11013318,Monitors,11013247,Computers & Peripherals
11013305,Laptops,11013247,Computers & Peripherals
11013291,Keyboard & Mice,11013247,Computers & Peripherals
11013285,Desktops,11013247,Computers & Peripherals
11013260,Computer Accessories,11013247,Computers & Peripherals
11013250,Components,11013247,Computers & Peripherals
11027827,Others,11013247,Computers & Peripherals
11012301,Beauty & Personal Care,0,
11012444,Women's Hair Care,11012301,Beauty & Personal Care
11012427,Skincare,11012301,Beauty & Personal Care
11012407,Oral Care,11012301,Beauty & Personal Care
11012399,Nails,11012301,Beauty & Personal Care
11012390,Men's Grooming,11012301,Beauty & Personal Care
11012375,Makeup,11012301,Beauty & Personal Care
11012351,Fragrances,11012301,Beauty & Personal Care
11012345,Feminine Care,11012301,Beauty & Personal Care
11012321,Beauty Devices & Tools,11012301,Beauty & Personal Care
11012302,Bath & Body,11012301,Beauty & Personal Care
11027578,Others,11012301,Beauty & Personal Care
11027421,Home Appliances,0,
11029692,Housekeeping,11027421,Home Appliances
11027485,TV Accessories,11027421,Home Appliances
11027478,Tools & Small Appliances,11027421,Home Appliances
11027472,Televisions,11027421,Home Appliances
11027457,Small Kitchen Appliances,11027421,Home Appliances
11027446,Large Appliances,11027421,Home Appliances
11027439,Garment Care,11027421,Home Appliances
11027431,Entertainment,11027421,Home Appliances
11027422,Cooling & Heating,11027421,Home Appliances
11027491,Health & Wellness,0,
11027546,Supplements,11027491,Health & Wellness
11027492,Beauty Supplements,11027491,Health & Wellness
11027556,Weight Management,11027491,Health & Wellness
11027509,Medical Supplies,11027491,Health & Wellness
11027524,OTC Medications,11027491,Health & Wellness
11027497,Food Nutrition,11027491,Health & Wellness
11027535,Senior Care,11027491,Health & Wellness
11027540,Sexual Wellness,11027491,Health & Wellness
11027521,Family Planning,11027491,Health & Wellness
11029695,Others,11027491,Health & Wellness
11011871,Food & Beverages,0,
11027376,Meat & Seafood,11011871,Food & Beverages
11011998,Snacks & Sweets,11011871,Food & Beverages
11011964,Fruit & Vegetable,11011871,Food & Beverages
11011956,Frozen Food,11011871,Food & Beverages
11011936,Food Staples,11011871,Food & Beverages
11011925,"Dairy, Eggs & Chilled Food",11011871,Food & Beverages
11011906,Catering,11011871,Food & Beverages
11011889,Beverages,11011871,Food & Beverages
11011882,Bakery,11011871,Food & Beverages
11011872,Alcoholic Beverages,11011871,Food & Beverages
11027383,Others,11011871,Food & Beverages
11011538,"Toys, Kids & Babies",0,
11011739,Toys,11011538,"Toys, Kids & Babies"
11059285,Infant Milk Formula,11011538,"Toys, Kids & Babies"
11011731,Milk Formula (1 year+),11011538,"Toys, Kids & Babies"
11011712,Maternity Care,11011538,"Toys, Kids & Babies"
11011703,Kid's Furniture,11011538,"Toys, Kids & Babies"
11011658,Gift Sets,11011538,"Toys, Kids & Babies"
11011639,Feeding & Nursing,11011538,"Toys, Kids & Babies"
11011614,Diapers & Potties,11011538,"Toys, Kids & Babies"
11011584,Bath & Baby Care,11011538,"Toys, Kids & Babies"
11011569,Baby Safety,11011538,"Toys, Kids & Babies"
11011555,Baby Gear,11011538,"Toys, Kids & Babies"
11027326,Others,11011538,"Toys, Kids & Babies"
11012218,Kids Fashion,0,
11027395,Baby & Kids Shoes,11012218,Kids Fashion
11012247,Kids Bags & Accessories,11012218,Kids Fashion
11012230,Kids Apparel,11012218,Kids Fashion
11012219,Baby & Toddler Apparel,11012218,Kids Fashion
11027403,Others,11012218,Kids Fashion
11013478,Video Games,0,
11013528,Xbox,11013478,Video Games
11013524,Wii & Wii U,11013478,Video Games
11013521,Retro & Microconsoles,11013478,Video Games
11013517,PlayStation Vita & Portable,11013478,Video Games
11013494,Playstation,11013478,Video Games
11013491,PC,11013478,Video Games
11013484,Nintendo Switch,11013478,Video Games
11013479,Nintendo 3DS & 2DS,11013478,Video Games
11012018,Sports & Outdoors,0,
11012210,Yoga Equipment,11012018,Sports & Outdoors
11012190,Women Sports Attire & Shoes,11012018,Sports & Outdoors
11012182,Team Sports Equipment,11012018,Sports & Outdoors
11012173,Swimming & Snorkelling,11012018,Sports & Outdoors
11012156,Sports Nutrition,11012018,Sports & Outdoors
11012140,Sports Bags,11012018,Sports & Outdoors
11012132,Scooters & Hoverboards,11012018,Sports & Outdoors
11012114,Recovery & Protection,11012018,Sports & Outdoors
11012107,Racket Sports Equipment,11012018,Sports & Outdoors
11012087,Outdoor Activities,11012018,Sports & Outdoors
11012066,Men Sports Attire & Shoes,11012018,Sports & Outdoors
11012050,Fitness Equipment,11012018,Sports & Outdoors
11012041,Fishing,11012018,Sports & Outdoors
11012028,Cycling,11012018,Sports & Outdoors
11012021,Boxing & Martial Arts Equipment,11012018,Sports & Outdoors
11027392,Others,11012018,Sports & Outdoors
11011760,Hobbies & Books,0,
11027338,Books,11011760,Hobbies & Books
11011852,"Music, Movies & Games",11011760,Hobbies & Books
11011839,Music Instruments,11011760,Hobbies & Books
11011822,Figures & Model Kits,11011760,Hobbies & Books
11011808,Collectibles,11011760,Hobbies & Books
11011795,Card & Board Games,11011760,Hobbies & Books
