price,price_before_discount,raw_discount,discount_percentage,name,image,sold,historical_sold,shop_name,itemid,shopid,rating_star,rating_count,shop_location,stock
8.66,20.0,64,64%,10000 LM mini powerful led flashlight xhp50 built-in battery 3 modes usb rechargeable flash light edc torch lamp flashlights,https://down-sg.img.susercontent.com/file/sg-11134201-22120-ql0r8wc8tzkv62,740,10000,TOOPRE,20266351917,397725242,4.822503671071953,10896,SG,1
5.42,18.17,70,70%,Toopre Lighting Series 2023 New Flashlight Super Brightness Three-speed Adjustable Rechargeable Torch,https://down-sg.img.susercontent.com/file/sg-11134201-23020-awqprbd5c2nv0c,687,10000,TOOPRE,20274421874,397725242,4.526553672316385,8850,SG,1
5.43,10.45,50,50%,COB LED Head Lamp Flashlight Sensor Headlight USB Rechargeable Headlamp with Built-in Battery Strong Light Head Torch,https://down-sg.img.susercontent.com/file/sg-11134201-7rdy8-lzompd8nmzckdf,661,686,AllBlue.SG,29609943714,1326167741,4.125,16,Malaysia,1
0.97,3.43,72,72%,Outdoor Protective Gloves Clip Hanger Multi-purpose Safety Work Gloves Holder Anti-drop Glove Belt Clamp for Worker Construction,https://down-sg.img.susercontent.com/file/sg-11134201-7rfh9-m45ttingruqae2,625,3000,Airdanli Outdoor Mart,28421620131,707724108,4.931524547803617,1548,Mainland China,1
5.2,12.73,59,59%,MINI LED Super Bright Camping Light with Hook USB Rechargeable Zoomable Flashlight,https://down-sg.img.susercontent.com/file/cn-11134207-7r98o-lqabctyx7xuga6,542,10000,TOOPRE,23061842312,397725242,4.848460291734198,17276,SG,1
1.6,1.6,0,,Atwood USA-Made 550 Paracord (buy by the meter) 7-strands Solid Colours + Designs,https://down-sg.img.susercontent.com/file/bc21ce8d610492bec59907f49e1d7546,523,20000,goodsallinone,15834087781,45196895,4.8869701726844585,1274,SG,1
0.66,1.32,50,50%,【SG STOCK】1PC Sport Wristband Sweatband Cotton Hand Band For Gym Tennis Squash Volleyball Basketball badminton 运动腕带,https://down-sg.img.susercontent.com/file/sg-11134211-7rbkb-lmhay1bzfzuzd7,493,8000,Freeoutdoor Shop,18993575600,1064414897,4.756756756756757,666,SG,1
0.77,2.73,76,76%,Metal Wavy Headband Non-Slip Elastic For Sports Fitness Unisex Outdoor Black,https://down-sg.img.susercontent.com/file/sg-11134201-8257y-mgffh8glyvbg78,471,10000,Shopee Choice Global,25071121700,1006220784,4.854222354222355,80860,Mainland China,1
5.9,5.9,16,16%,"Pickleball Paddle Set – 2 Paddles + 4 Balls + Free Bag | Lightweight, Family-Friendly | XS Sportster",https://down-sg.img.susercontent.com/file/sg-11134207-8257t-mg28ctt6w4cp35,432,1000,Inspired-Living,43655463226,102092496,4.879032258064516,496,SG,1
1.6,1.6,0,,[SG PICKLEBALL BALLS] INDOOR / OUTDOOR PICKLE BALL 26 HOLES 40 HOLES [FAST DELIVERY],https://down-sg.img.susercontent.com/file/sg-11134207-7rd69-lugcxykot4fu94,420,5000,onlinesportingsale,24576163465,70385704,4.75,320,SG,1
10.9,21.8,50,50%,【SG Stock】Collapsible Tri-fold Trekking Hiking Poles Light-weight Collapsible Walking Stick Anti-Shock 登山杖,https://down-sg.img.susercontent.com/file/sg-11134211-7rbkx-lloe1kl0gxqyf8,402,5000,Freeoutdoor Shop,18393008733,1064414897,4.792903225806452,3100,SG,1
0.11,0.11,0,,Customized wrist band sticker waterproof wristband disposable tyvek sticker print game resort party hand sticker bracelets for event,https://down-sg.img.susercontent.com/file/111949cab1a9dddd860f2bd3d2730a05,400,3000,xybaby.sg,14288227125,501798414,5,40,Mainland China,1
1.1,2.0,55,55%,[SG Stock] S-Biner Aluminum Alloy Dual Carabiner Hook Outdoor Camping Hiking,https://down-sg.img.susercontent.com/file/sg-11134207-7qvfa-ljf71jtv4welf7,363,10000,BareBasics,23774305961,980864874,4.955249569707401,1162,SG,1
1.42,4.36,67,67%,Sports Headbands for Men and Women - Gym Yoga Sweat Hair Bands Soft Elastic Stretch Outdoor,https://down-sg.img.susercontent.com/file/sg-11134201-821g4-mgk8hqpwia6nf5,335,8000,Shopee Choice Global,22462705666,1006220784,4.855355207409597,20298,Mainland China,1
5.8,24.15,76,76%,All perspectives induction headlamp USB rechargeble LED headlight super bright 5 power modes flashlight Fishing/camping/hiking/running/cycling,https://down-sg.img.susercontent.com/file/sg-11134201-23010-3roxvgfu4ulvbb,330,6000,TOOPRE,21370363274,397725242,4.798709677419355,3100,SG,1
7.7,11.0,30,30%,[SG Seller 🇸🇬] READY STOCK ‼️Picnic Set,https://down-sg.img.susercontent.com/file/sg-11134207-7rbn6-lnbocj6yga2283,282,4000,Essential Vaults,22784768901,901710714,4.913934426229508,488,SG,1
6.5,9.28,30,30%,💯SG Ready Stock Outdoor Portable Folding Chair Backpack Folding Stool Pocket Chair For Camping Fishing Travel Kerusi Lipat Bangku Kecil,https://down-sg.img.susercontent.com/file/sg-11134207-824hu-mdyi3gndbrb6e2,263,285,SG official store,41613791524,1228953442,4.86734693877551,196,Malaysia,1
6.91,10.01,32,32%,Alonefire SV94 365/395nm High Bright UV Flashlight USB Rechargeable Torch Pet Urine Cat Tinea Marker Money Ore Leakage Detection Lamp,https://down-sg.img.susercontent.com/file/sg-11134201-821fs-mgk8nprz670u82,241,1000,Shopee Choice Global,25384741072,1006220784,4.902965735675209,6946,Mainland China,1
1.0,5.0,80,80%,Wholesale Pickleball Balls (Indoor & Outdoor) | 6pcs 40-Hole Durable Pickleballs for Competition,https://down-sg.img.susercontent.com/file/sg-11134207-82597-mez3jpyzur5u65,234,234,LBXX-Lighting-Local Store,41716477917,321690789,4.928571428571429,28,SG,1
3.82,3.82,0,,[1PC] Encora Waterproof Picnic Mat Lightweight Camping Mat Tikar Plastik Tikar Lipat Foldable Outdoor Blanket 野餐垫,https://down-sg.img.susercontent.com/file/my-11134207-7ras9-m331nez0s2lxa9,231,3000,Encora,29610397751,212055151,4.812187812187812,2014,Malaysia,1
1.25,1.6,22,22%,Fr $1.00 🔥Direct fr Wholesaler🔥 Pickleball Balls (Indoor & Outdoor) | 40-Hole Durable Pickleballs for Game & Competition,https://down-sg.img.susercontent.com/file/sg-11134207-7rdyj-mc0drtcb5fq0de,206,982,Renaissance,26738524735,189053145,4.928571428571429,56,SG,1
1.28,9.81,87,87%,No. 8 D-shaped Backpack Fast Hanging Buckle Camping Tactical Backpack Buckle High-quality Aluminum Carabiner,https://down-sg.img.susercontent.com/file/ea49557ff834add0d5fc7bccaa90e686,192,10000,xjphangju.sg,11878645730,328333116,4.858606557377049,2928,Mainland China,1
1.45,1.45,0,,"USA-Made Atwood 550 Paracord (buy by the meter) - Solid, Pattern and Camo Colours",https://down-sg.img.susercontent.com/file/sg-11134207-824h7-mf0fhjx6dlhoe0,192,7000,Outdoors Equipment Shop and More,2881432574,158129579,4.914590747330961,562,SG,1
